Name,Scientific Name,Conservation Status,Distinctive Features,Size,Habitat,Behavior,Range
brown-headed barbet,psilopogon zeylanicus,least concern,"prominent pale streaks on brown head and breast, white speckling on shoulders",a bird of varying sizes,prefers drier woodlands,heard more often than seen,several regions around the world
spotted dove,spilopelia chinensis,not well-documented,white-spotted black nape patch,a bird of varying sizes,"open forests, fields, and parks; introduced to several regions around the world",often tame and approachable; coos loudly and often,much of asia; introduced to several regions around the world
asian koel,eudynamys scolopaceus,not well-documented,"dull lime-green bill (males), white dots on wings and streaking on head and throat (females and immatures)",large,"interior of dense trees in many habitats, including inner cities and fields","usually secretive; females lay eggs in the nests of other large birds like crows, shrikes, and starlings",several regions around the world
common tailorbird,orthotomus sutorius,least concern,long bill; builds nest by stitching leaves together,a bird of varying sizes,"parks, gardens, and wooded areas across south and southeast asia",known for stitching leaves together to build nests; “tuii-tuii…” and “whee-whee…” calls are often part of daily life sounds in human habitation,south and southeast asia
yellow-billed babbler,argya affinis,least concern,"pale spot in front of eyes, pale crown contrasting with dark throat and cheeks, blank-faced appearance",a bird of varying sizes,prefers drier habitats than the jungle babbler,gregarious and noisy,southern india and sri lanka
white-bellied drongo,dicrurus caerulescens,least concern,"distinctively forked tail, white belly in white-bellied form",small,dry and open forests across the indian subcontinent,no information available,indian subcontinent
black-hooded oriole,oriolus xanthornus,least concern,"black head and breast, black band towards the tail tip in flight",medium-sized,"wooded gardens, groves, and open forests",often feeds on fruiting trees with a preference for figs,several regions around the world
pied kingfisher,ceryle rudis,least concern,"short, bushy crest; glossy all-dark bill; distinctly patterned head and breast",a bird of varying sizes,waterside habitats from lakes to estuaries to mangroves,often hovers over water when seeking prey; frequently seen perched in pairs or small groups,several regions around the world
greater coucal,centropus sinensis,least concern,"long and heavy black tail, deep red eyes, rusty wings, glossy underparts",large,common across a range of habitats except very dense forests,similar to lesser coucal; lacks white streaks on wings seen on lesser coucal,several regions around the world
rock pigeon,columba livia,least concern,"variable plumage; some identical to wild-type, others can be completely black, white, or orangey-brown",fairly large,cliffs and caves from western europe to central asia; cities and farmland,often in large flocks,worldwide (wild and feral populations)
lesser whistling-duck,dendrocygna javanica,least concern,"chestnut-fringed feathers, orange-yellow eyering",small,shallow water bodies with abundant vegetation,"gregarious, often found in flocks; flies with rapid wingbeats on broad dark wings",several regions around the world
asian palm swift,cypsiurus balasiensis,least concern,"long thin wings, heavily-forked tail",small,mostly seen over open areas such as fields and agricultural land; partial to areas with palms on which they breed,"seen in rapid fluttering flight, often making trilling “tiriririree” calls while foraging in pairs or loose flocks",several regions around the world
