Name,Scientific Name,Conservation Status,Distinctive Features,Size,Habitat,Behavior,Range
Rose-ringed Parakeet,Psittacula krameri,Least Concern,"Long slender tail, bright red bill, narrow black-and-pink neck ring in males",a bird of varying sizes,"Woodland, parks, gardens","Nests in cavities, including holes in buildings; raucous and social, often appearing in noisy groups","Native to Africa and South Asia, introduced worldwide, including Europe, the Caribbean, Japan, and Hawaii"
Brown-headed Barbet,Psilopogon zeylanicus,Least Concern,"Prominent pale streaks on brown head and breast, white speckling on shoulders",a bird of varying sizes,Prefers drier woodlands,Heard more often than seen,several regions around the world
Spotted Dove,Spilopelia chinensis,not well-documented,White-spotted black nape patch,a bird of varying sizes,"Open forests, fields, and parks; introduced to several regions around the world",Often tame and approachable; coos loudly and often,Much of Asia; introduced to several regions around the world
Asian Koel,Eudynamys scolopaceus,not well-documented,"Dull lime-green bill (males), white dots on wings and streaking on head and throat (females and immatures)",Large,"Interior of dense trees in many habitats, including inner cities and fields","Usually secretive; females lay eggs in the nests of other large birds like crows, shrikes, and starlings",several regions around the world
Common Tailorbird,Orthotomus sutorius,Least Concern,Long bill; builds nest by stitching leaves together,a bird of varying sizes,"Parks, gardens, and wooded areas across South and Southeast Asia",Known for stitching leaves together to build nests; “tuii-tuii…” and “whee-whee…” calls are often part of daily life sounds in human habitation,South and Southeast Asia
Yellow-billed Babbler,Argya affinis,Least Concern,"Pale spot in front of eyes, pale crown contrasting with dark throat and cheeks, blank-faced appearance",a bird of varying sizes,Prefers drier habitats than the Jungle Babbler,Gregarious and noisy,Southern India and Sri Lanka
White-bellied Drongo,Dicrurus caerulescens,Least Concern,"Distinctively forked tail, white belly in white-bellied form",Small,Dry and open forests across the Indian subcontinent,No information available,Indian subcontinent
Black-hooded Oriole,Oriolus xanthornus,Least Concern,"Black head and breast, black band towards the tail tip in flight",Medium-sized,"Wooded gardens, groves, and open forests",Often feeds on fruiting trees with a preference for figs,several regions around the world
Pied Kingfisher,Ceryle rudis,Least Concern,"Short, bushy crest; glossy all-dark bill; distinctly patterned head and breast",a bird of varying sizes,Waterside habitats from lakes to estuaries to mangroves,Often hovers over water when seeking prey; frequently seen perched in pairs or small groups,several regions around the world
Greater Coucal,Centropus sinensis,Least Concern,"Long and heavy black tail, deep red eyes, rusty wings, glossy underparts",Large,Common across a range of habitats except very dense forests,Similar to Lesser Coucal; lacks white streaks on wings seen on Lesser Coucal,several regions around the world
Rock Pigeon,Columba livia,Least Concern,"Variable plumage; some identical to wild-type, others can be completely black, white, or orangey-brown",Fairly large,Cliffs and caves from western Europe to central Asia; cities and farmland,Often in large flocks,Worldwide (wild and feral populations)
Lesser Whistling-Duck,Dendrocygna javanica,Least Concern,"Chestnut-fringed feathers, orange-yellow eyering",Small,Shallow water bodies with abundant vegetation,"Gregarious, often found in flocks; flies with rapid wingbeats on broad dark wings",several regions around the world
Asian Palm Swift,Cypsiurus balasiensis,Least Concern,"Long thin wings, heavily-forked tail",Small,Mostly seen over open areas such as fields and agricultural land; partial to areas with palms on which they breed,"Seen in rapid fluttering flight, often making trilling “tiriririree” calls while foraging in pairs or loose flocks",several regions around the world
